Product Name,Price,Ratings
"2019 Newest Lenovo 15.6"" Laptop Computer, Intel Pentium Gold 5405U, 2.3GHz, 8GB DDR4 RAM, 256GB SSD, WiFi, Bluetooth, USB 3.1, HDMI, Windows 10 w/ Hesvap Accessories",$311.95,3.1 out of 5 stars
"2019 Newest Lenovo IdeaPad 15.6"" HD High Performance Laptop PC | AMD A6-9225 Dual-Core 2.60 GHz| 4GB RAM | 500GB HDD | 802.11ac | Bluetooth | DVD+/-RW | HDMI | Win 10",$255.00,2.9 out of 5 stars
"HP Chromebook X360 14-Inch HD Touchscreen Laptop, Intel Celeron N4000, 4 GB RAM, 32 GB eMMC, Chrome (14b-ca0010nr, Ceramic White/Mineral Silver)",$319.99,3.5 out of 5 stars
"Acer Chromebook 11, Celeron N3350, 11.6"" HD, 4GB LPDDR4, 32GB eMMC, Google Chrome, C732-C6WU",$192.99,4.5 out of 5 stars
"CHUWI HeroBook Laptop Computer Windows 10 PC, 14.1"" 1080P Display, Intel Atom X5-E8000 Quad Core, 4GB RAM/64GB eMMC and Extra 256GB SSD, 1TB M.2 SSD Slot, Thin and Lightweight",$229.99,3.5 out of 5 stars
"Bit CORE+ 10.1 Windows 10, 2 in 1 Detachable PC - with Bonus Full Function Bit Smart Watch (W10046APB+S1CG)",$219.99,1.0 out of 5 stars
"LG gram Laptop - 15.6"" Full HD Display, Intel 8th Gen Core I5, 8GB RAM, 256GB SSD, 21.5 HRs Battery - 15Z990-U.AAS5U1 (2019), Dark Silver",$946.99,4.3 out of 5 stars
"ASUS VivoBook 15 Thin and Light Laptop, 15.6” FHD, Intel Core i3-8145U CPU, 8GB RAM, 128GB SSD, Windows 10 in S Mode, F512FA-AB34, Slate Gray",$379.99,4.2 out of 5 stars
"Asus TUF Gaming Laptop, 15.6” Full HD IPS-Type, Intel Core i7-9750H, GeForce GTX 1650, 8GB DDR4, 512GB PCIe SSD, Gigabit Wi-Fi 5, Windows 10 Home, TUF505GT-AH73",$899.99,4.2 out of 5 stars
"Lenovo 100E Chromebook 2ND Gen Laptop, 11.6"" HD (1366 X 768) Display, MediaTek MT8173C Processor, 4GB LPDDR3 RAM, 16GB eMMC TLC SSD, Powervr GX6250, Chrome OS, 81QB000AUS, Black",$0,4.2 out of 5 stars
"Dell Inspiron 11 3195, 2 in 1, 7th Gen AMD A9-9420e W/ Radeon R5 Graphics, 4GB DDR4 2666MHz RAM, 64GB HD, 11.6"" HD (1366 X 768) LED-Backlit Touch Display",$199.99,3.3 out of 5 stars
"HP Chromebook 14-inch Touchscreen (1920x1080) FHD IPS WLED-Backlit Display Laptop PC, Intel Dual Core Celeron N3350 up to 2.4GHz, 4GB LPDDR4 RAM, 32GB eMMC, B&O Play, Webcam, Bluetooth, Chrome OS",$274.99,4.4 out of 5 stars
"Dell - Inspiron 15.6"" Laptop - Intel Core i3 - 8GB Memory - 1TB Hard Drive - Black",$399.99,2.8 out of 5 stars
"Fusion5 11.6"" Full HD Laptop Computer - Windows 10, C60B Model, Intel Quad-Core, Ultra Slim, WiFi, IPS Screen, Bluetooth, USB 3.0, Light-Weighted Windows Laptop (64GB)",$139.95,3.7 out of 5 stars
"ROG Zephyrus M Thin and Portable Gaming Laptop, 15.6” 240Hz FHD IPS, NVIDIA GeForce RTX 2070, Intel Core i7-9750H, 16GB DDR4 RAM, 1TB PCIe SSD, Per-Key RGB, Windows 10 Home, GU502GW-AH76","$1,749.99",4.8 out of 5 stars
"HP 11.6 Inch high performance Chromebook Laptop Computer, Intel Celeron N3060 Up to 2.48GHz, 4GB Memory, 16GB eMMC, WiFi 802.11ac, USB 3.1, Bluetooth, Webcam, Chrome OS (Renewed)",$133.99,3.9 out of 5 stars
"Beantech W11046ADB Laptop (Windows 10 Home, Intel Cherry Trail z8300, 11.6"" LCD Screen, Storage: 64 GB, RAM: 4 GB) Black",$219.99,2.2 out of 5 stars
"Acer Chromebook R 11 Convertible Laptop, Celeron N3060, 11.6"" HD Touch, 4GB DDR3L, 32GB eMMC, C738T-C7KD",$209.99,3.9 out of 5 stars
Dell Inspiron 15|Amd Ryzen 5 2500U Mobile Proc W/Radeon Vega 8 Graphics|8Gb|256Gb|15.6-Inch FHD (1920 X 1080),$484.88,3.6 out of 5 stars
"2019 Newest Flagship Lenovo IdeaPad 15.6"" HD High Performance Laptop PC |Intel Pentium 5405U 2.3 GHz| 4GB RAM | 500GB HDD | Bluetooth | HDMI | Windows 10",$244.90,4.1 out of 5 stars
"2019 Newest Lenovo Premium PC Laptop IdeaPad L340: 17.3 HD Display, AMD Ryzen 3-3200 Processor, 8GB Ram, 128GB SSD, WiFi, Bluetooth, DVDRW, USB-C, HDMI, Webcam, Dolby Audio, Windows 10",$478.00,4.4 out of 5 stars
"ASUS VivoBook 15 Ultraslim 15.6"" FHD (AMD Ryzen 5-3500U 2.1GHz, 8GB RAM, 512GB SSD, AMD Radeon Vega 8, Windows 10 64-Bit) Laptop Computer Bundle with McAfee Antivirus 1-Year, F512DA",$599.00,4.7 out of 5 stars
"HP Stream Laptop PC 11.6"" Intel N4000 4GB DDR4 SDRAM 32GB eMMC Includes Office 365 Personal for One Year",$163.00,3.5 out of 5 stars
"2019 Newest Lenovo Ideapad S145 15.6"" HD LED-Backlit Widescreen Laptop, Intel Pentium Gold 5405U 2.30GHz Processor, 16GB RAM, 1TB Hard Disk Drive, Wireless-AC, Bluetooth, Windows 10, Granite Black",$369.00,5.0 out of 5 stars
